disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1239,,,,,8225378.98,4219882.47,3961713.95,2023-10-31T00:00:00.000Z,,3887494,513551283548b0388e0acaa35e78d5d8a32e561d,2023-10-31T04:23:02.791Z,64d3f4e2-5dd3-4cf5-8100-f12f6aeb9d81
1257,,,,,33279674.22,9756691.41,23183628.92,2023-10-31T00:00:00.000Z,,18906913,96654bd537480c8c60500ad3a646fb4faa9a1bb9,2023-10-31T04:23:02.791Z,cde5732d-87b6-4fa8-8f23-79df03da9fb1
1260,,,,,9863594,3896685.75,5833055.72,2023-10-31T00:00:00.000Z,,1875688,de00c3fe10239884d717b2c0556b6977bae576d2,2023-10-31T04:23:02.791Z,912bf606-aa87-4836-b38c-fa5e59e012e4
1261,,,,,5735788.21,2349946.79,3385841.42,2023-10-31T00:00:00.000Z,,1096729,b9d3963b626bff4bf14dd745933f17251336be6e,2023-10-31T04:23:02.791Z,682a67a7-4022-4880-89f3-bb3cd6799537
1262,,,,,15377362.84,4437805.23,10793815.08,2023-10-31T00:00:00.000Z,,1494499,d0e3a1e21e3eaf2bf866c501b381c2362562b345,2023-10-31T04:23:02.791Z,f8a74dc1-e0a9-432a-adf8-f69eb4fe28c3
1264,,,,,3033110.28,882780.99,2135164.26,2023-10-31T00:00:00.000Z,,915473,2441d3b491b4e708f349688c8c14f878ab670e2a,2023-10-31T04:23:02.791Z,0f117c42-a636-4c2d-bdad-83bb84118931
1265,,,,,6970269.48,2590192.47,4349918.09,2023-10-31T00:00:00.000Z,,1319820,3cd8979bc840ec5f207ef0add54098654915b068,2023-10-31T04:23:02.791Z,b65bc86d-5bb4-4985-95d7-353b0b72b14c
1266,,,,,7265330.4,4572203.46,2603875.52,2023-10-31T00:00:00.000Z,,3634575,a14457d2c9d82f6a0df608c2089177f435e7736c,2023-10-31T04:23:02.791Z,395cd11b-4186-41df-bb2f-db57ec41bb1b
1268,,,,,721979.29,43929.52,655398.71,2023-10-31T00:00:00.000Z,,120352,c9beead63cc2fcd98e4336cb21c7ba9ffe2941b0,2023-10-31T04:23:02.791Z,408118cb-d5d8-401f-91f3-088702c5a97b
1269,,,,,1737569.4,898066.5,810242.78,2023-10-31T00:00:00.000Z,,1037030,4daddbecc6d167bc2c9ec25b120c574cf3537815,2023-10-31T04:23:02.791Z,167823c7-d058-47a9-afdb-91fa30a9d1af
1271,,,,,1868757.98,1691960.54,176797.44,2023-10-31T00:00:00.000Z,,495343,77763687a209908a95aa4dc5d099a315a4463f23,2023-10-31T04:23:02.791Z,035f28f4-df32-4ebd-a129-d70d288ed902
1272,,,,,40588743.22,29892462.64,10342694.45,2023-10-31T00:00:00.000Z,,12665798,76a3d2f0798b05fe9fcb18827839519e999131fb,2023-10-31T04:23:02.791Z,4257f0f8-f5d8-4bb5-aa96-cad29bc24886
1273,,,,,3144097.57,2597610.34,546487.23,2023-10-31T00:00:00.000Z,,1764725,01275262fef8a7428c3f9df6b99036842dda1591,2023-10-31T04:23:02.791Z,d78f22d8-0008-452e-8bad-70d3d583ef02
1274,,,,,1525086.7,1060865.15,587622.94,2023-10-31T00:00:00.000Z,,778869,dded5c7ce9f5dbfd70248b7563c4b4ef483198f0,2023-10-31T04:23:02.791Z,0c3ef870-4205-483a-960e-c2ea90e2d83b
1275,,,,,5322523.58,2426827.39,2821849.55,2023-10-31T00:00:00.000Z,,853245,ca5aa192adc5ec1d3780ccf997c97295801a5ddd,2023-10-31T04:23:02.791Z,4c5d456a-6f18-4a12-a229-3cdb8fc2a81c
1276,,,,,5242416.68,546984.2,4587872.59,2023-10-31T00:00:00.000Z,,1158596,6b5dffc312aff8221b9855ed9d80f19d659ff131,2023-10-31T04:23:02.791Z,0c6e37bb-02ec-49b6-b7e8-f6dc88734416
1277,,,,,8534710.43,1862546.18,6422742.96,2023-10-31T00:00:00.000Z,,2449736,3d7179b867c057d5f43a8b953083f8f322a7f467,2023-10-31T04:23:02.791Z,89fa0164-4a69-4e55-bcdf-64f447d13a97
1278,,,,,501235.42,20563.57,469397.28,2023-10-31T00:00:00.000Z,,113954,539ca13753ee315e913d65abba11c26bdf297d37,2023-10-31T04:23:02.791Z,8f168e1c-9bae-447d-888e-79027324dd9c
1279,,,,,48334834.63,3905669.96,43752362,2023-10-31T00:00:00.000Z,,11742244,a0e54d1e4b2e2fb94dee2c1878ecdf79679098e3,2023-10-31T04:23:02.791Z,b7719b14-eee3-469f-9dfd-e365ce9f72a4
1280,,,,,801099.77,621063.41,162372.31,2023-10-31T00:00:00.000Z,,1152684,8f9184ce0c6c404b1ad5a798efdbb30c2be242b6,2023-10-31T04:23:02.791Z,78d4d63f-7080-4bbe-be27-0dc50b8116e3
1281,,,,,4736115,429615.84,4190877.14,2023-10-31T00:00:00.000Z,,704930,10eff75e39da116421817a5fd11def459cbc14a0,2023-10-31T04:23:02.791Z,92633493-0270-40f6-80d1-5b17fd0d1a81
1282,,,,,10955690.74,1814403.47,8883933.06,2023-10-31T00:00:00.000Z,,2636499,bb4df24f0d2111d524fd3962322e0d57a6956f68,2023-10-31T04:23:02.791Z,96d5232e-feaf-40ef-8796-83cb68eb5b03
1283,,,,,11679939.6,3332720.86,8260184.09,2023-10-31T00:00:00.000Z,,2769144,ca6f35898b64c686bd3a916cb00cca901ebbb9fe,2023-10-31T04:23:02.791Z,67f1b83e-8357-4e88-b8dd-50a4500ce6ea
1284,,,,,4064691.72,950005.26,3086906.66,2023-10-31T00:00:00.000Z,,641581,731a3486fabb06247031007f8b166a75a847d895,2023-10-31T04:23:02.791Z,7297d6b4-61c5-465a-a923-0b0e04083b81
1285,,,,,518798.92,331705.11,182722.6,2023-10-31T00:00:00.000Z,,86350,6c6ec2d329a2a5cd9ed73746e2e0f5a362dfc2f1,2023-10-31T04:23:02.791Z,591f5ce6-f3ed-448a-bd0e-432b659283b9
1286,,,,,2083481.55,147935.45,1935546.1,2023-10-31T00:00:00.000Z,,621569,8b52977e165405876f839adc6dcaba5491311c2f,2023-10-31T04:23:02.791Z,b802aaa6-43b4-47e5-a4bd-f9b880cfa161
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2023-10-31T00:00:00.000Z,,3182052,2e58a8ca57ba7c7b03cb4614e066ca0f52edf3a4,2023-10-31T04:23:02.791Z,17426fd5-41bc-4844-92f8-7bbb13ccfa61
1288,,,,,7734889.99,727111.27,6928401.83,2023-10-31T00:00:00.000Z,,1359545,73ebb969936b6c54323e9780209997d82aec5a8a,2023-10-31T04:23:02.791Z,e8db12a0-5aa5-4e2c-93b3-f36a6dde2716
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2023-10-31T00:00:00.000Z,,305977,d4f00fc742e2b3dacf800325cedb7c6b8646d4ad,2023-10-31T04:23:02.791Z,ab562be1-d4a3-4ef2-bad3-a253742a0b4f
1292,,,,,298105794.06,143602692.89,150485207.39,2023-10-31T00:00:00.000Z,,67665966,00513a55497bcf09a21e087ec0bec16d2de42f0b,2023-10-31T04:23:02.791Z,0a5b5666-7678-4d6d-a4c1-2423a31ac4e8
1293,,,,,19890308.77,8206956.08,11605641.68,2023-10-31T00:00:00.000Z,,4034816,0c1317dd58465c40cf431a56925d93b16c5e3c7e,2023-10-31T04:23:02.791Z,e3193f86-0f68-4dd3-afc3-a75bf9b7870d
1294,,,,,10347269.34,4079425.04,5840828.95,2023-10-31T00:00:00.000Z,,4277685,2fdcbfb848146ed0f4a6d0e3df2364e7921839a1,2023-10-31T04:23:02.791Z,b677a8d2-8ada-4456-92c0-4f15d2dfd1b0
1295,,,,,38703382.74,17818465.28,20285139.28,2023-10-31T00:00:00.000Z,,9436261,84863da7d640814933a51a2bc821448de9496090,2023-10-31T04:23:02.791Z,49826a92-4ba4-4226-9324-412e05dab08a
1296,,,,,41182922.07,10759369.68,29436671.56,2023-10-31T00:00:00.000Z,,4413443,3306ecbc5a7cc96e9950cb7599d734dc92f7fdfa,2023-10-31T04:23:02.791Z,e4a9c916-e8e9-45af-a4f6-2cc2b6fa7d36
1297,,,,,3374929.57,413506.66,2970485.64,2023-10-31T00:00:00.000Z,,831368,3ebc732dd6f321cf209e22de075e1c19ac534841,2023-10-31T04:23:02.791Z,6a3f8c8b-73b4-4080-939f-82e3cc86a465
1299,,,,,20544924.45,13046343.17,7178637.83,2023-10-31T00:00:00.000Z,,6074584,c9f0a6e6fbd5307b1f3faefe35b7c7ab4138d3cc,2023-10-31T04:23:02.791Z,9b78773e-69a3-43bb-937b-381b2d39ea86
1300,,,,,34309695.49,16704381.41,17070710.07,2023-10-31T00:00:00.000Z,,3599288,540cc7627936cd9c1e73fbcda5ffe96b0dfd2ddb,2023-10-31T04:23:02.791Z,6c7a6575-f678-449a-bfdc-047dedf23d6f
1301,,,,,1968329.67,18254.17,1953360.86,2023-10-31T00:00:00.000Z,,7803,9210d71030b47438a2c383f291685ca75ad58a71,2023-10-31T04:23:02.791Z,8cc7201c-485d-4044-a474-fe539240e00b
1302,,,,,1875868.51,590763.4,1224126.36,2023-10-31T00:00:00.000Z,,107462,56805bb0ef3676e63f75f6af5c47d90090901d13,2023-10-31T04:23:02.791Z,cdb07a60-3d77-428f-84bf-086e90ae4763
1303,,,,,5462529.93,1195275.68,4267254.25,2023-10-31T00:00:00.000Z,,1061424,9f136b5e69853786bafcadf953077abb36502ad0,2023-10-31T04:23:02.791Z,be20f520-c420-4571-aa9c-784760df8cff
1305,,,,,594693.82,73108.21,521585.61,2023-10-31T00:00:00.000Z,,11345,20022cfce27952c2cd159dcd8994066d7098d8e6,2023-10-31T04:23:02.791Z,4234a449-4db4-45a1-8ae2-58fd965abca1
1306,,,,,106261560.28,32644798.12,72246572.61,2023-10-31T00:00:00.000Z,,21423043,b571ebdfd0a575f1c399d7e5fa231f7c192ffcb9,2023-10-31T04:23:02.791Z,3e7c3dc5-6731-42e1-a177-b1c71add3ee3
1307,,,,,1010652.61,397663.92,612988.69,2023-10-31T00:00:00.000Z,,111961,315f229f181e454886b30968fc888362a3d8bd94,2023-10-31T04:23:02.791Z,e80590e0-f43f-44e7-bcf7-cb6c042c7f0a
1308,,,,,920741.26,21376.49,880889.25,2023-10-31T00:00:00.000Z,,136145,2ede502e6df9b6f54c3268019237a71cdf7e9dcd,2023-10-31T04:23:02.791Z,b9f649f3-f01e-4a06-9f15-bb34a55abd0a
1309,,,,,4844695.58,1257343.05,1891051.87,2023-10-31T00:00:00.000Z,,1847365,1ac54f8dd78ddde510d74eb5eef0452fdc7f58b8,2023-10-31T04:23:02.791Z,91424918-0f10-4b8a-9b5b-5363d3e1c9ef
1310,,,,,4680340.29,1386231.25,3245139.39,2023-10-31T00:00:00.000Z,,250405,8dda291f150ea804f8e157638a34551d53afcfa8,2023-10-31T04:23:02.791Z,7342c117-af8a-4829-8fe0-3c0f7d6993be
1311,,,,,36909135.59,26066940.79,10849669.36,2023-10-31T00:00:00.000Z,,5289650,c465f433bbdc0d5b79e999204d49979570694329,2023-10-31T04:23:02.791Z,f6f0c757-17e2-4e0d-9e42-30b35d13f7e7
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1312,,,,,27368107.85,20690288.33,6631775.1,2023-10-31T00:00:00.000Z,,3453353,3ba94b29591e924531f87c07a6afc141a7d42d30,2023-10-31T04:23:02.791Z,614bfe22-0202-4dfc-b37a-bceac4fa6b98
1241,,,,,,,,,,302741,185f4706b8bee0537badc0126c55da717775e812,2023-10-09T02:24:46.659Z,f91f1449-8cd3-4923-9a60-4f8a8ad78ae7
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
5471,,,,,,,,,,0,84b7241d62b7bf982f1fae0f56d0e4b3b20712bb,2023-07-25T23:02:30.960Z,7c917300-8f0a-4d84-b574-d27e98859baa
1313,,,,,8726361.63,3164581.04,5580429.08,2023-10-31T00:00:00.000Z,,1311471,0dc66a4b6937ac0a4904ff6b2272f0d0be32d5a8,2023-10-31T04:23:02.791Z,d15323b4-a145-46b4-8070-67ae96b9a453
1314,,,,,2605294.29,1170005.58,1430613.75,2023-10-31T00:00:00.000Z,,405517,1c24bc30f6fc638fb63e5f99169ee97ba78d86e1,2023-10-31T04:23:02.791Z,ce0b67b4-fce8-43c6-b622-2152a2f76976
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1315,,,,,2043473.79,1256195.35,847752.31,2023-10-31T00:00:00.000Z,,662973,5c44454cb893b70e832ce230b4c675181ecb141e,2023-10-31T04:23:02.791Z,b7701d09-e534-4ac7-8d32-d47342e51157
1316,,,,,10798817.35,6382892.52,4291133.67,2023-10-31T00:00:00.000Z,,1583458,44ff69380cb0b7dab79dfc1808fe95054f5c73da,2023-10-31T04:23:02.791Z,870453b8-4f7d-478d-a0d2-6b85c55eff45
1317,,,,,3394920.15,1502165.83,1892754.32,2023-10-31T00:00:00.000Z,,438084,2604445337678620ece763a7e3bcf607e504988e,2023-10-31T04:23:02.791Z,71ca8e17-3798-4645-886d-e09645bc0441
1318,,,,,13588960.08,13193223.02,451699.92,2023-10-31T00:00:00.000Z,,1454376,54977566cd0a85bb628e553d30fb94a7ad015d01,2023-10-31T04:23:02.791Z,512b6b05-dcad-425a-b992-643455d13e5b
1319,,,,,5134082.94,329668.71,4780114.36,2023-10-31T00:00:00.000Z,,1289906,bf220b3d00aa1b52855262e2859c660ec1262221,2023-10-31T04:23:02.791Z,ebac923b-24a5-4fb8-a98f-ae6f5c117af3
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1320,,,,,2820111.53,245508.68,2514961.75,2023-10-31T00:00:00.000Z,,420140,4c88c7bc0b84464e60139af927f6899399008e0b,2023-10-31T04:23:02.791Z,58c226a2-5b75-4aa1-9dd8-012b56a71a72
1323,,,,,3773011.29,2434987.46,1282012.04,2023-10-31T00:00:00.000Z,,556864,fdf4e1c34294f65c68e778e485703ccd1217e3d7,2023-10-31T04:23:02.791Z,771f41ff-d0da-42a6-86eb-0d72b3e04fb4
1324,,,,,10907868.92,10902315.84,-40533.34,2023-10-31T00:00:00.000Z,,1613748,ef7a4c65a870cabe373921e0dbfffa18602e822f,2023-10-31T04:23:02.791Z,98432980-433c-49d4-9f65-3b21021cc4db
